kind,province,place,price
others,Guangxi,Rongan,24.8
others,Guangxi,柳州融水,5
others,Guangxi,桂林灵川,4
others,Guangxi,桂林阳朔,6.15
others,Hainan,文昌,7
others,Hainan,澄迈,16.27
others,Yunnan,大理宾川,3.5
crisp-honey,Gaungxi,南宁西乡,31.16
crisp-honey,Gaungxi,柳州柳江,32.35
crisp-honey,Gaungxi,Rongan,27.37
crisp-honey,Gaungxi,桂林阳朔,5.38
crisp-honey,Gaungxi,钦州灵山,12
crisp-honey,Yunnan,昆明官渡,29.95
oily-peel,Gaungxi,南宁西乡,8.79
oily-peel,Gaungxi,柳州融安,10.21
oily-peel,Gaungxi,桂林阳朔,3
crisp,Shandong,济宁任城,9.15
crisp,Guangdong,佛山南海,10.5
crisp,Gaungxi,南宁上林,10.85
crisp,Gaungxi,Rongan,11.14
crisp,Gaungxi,桂林临桂,12.34
crisp,Gaungxi,桂林灵川,6.27
crisp,Gaungxi,桂林荔浦,3.5
crisp,Gaungxi,桂林阳朔,6.65
crisp,Gaungxi,梧州藤县,9.1
crisp,Gaungxi,贺州八步,2.5
crisp,Sichuan,成都龙泉,8
crisp,Shaanxi,西安临潼,9.13
smooth-peel,Gaungxi,南宁兴宁,10.6
smooth-peel,Gaungxi,柳州柳江,14
smooth-peel,Gaungxi,Rongan,12.83
smooth-peel,Gaungxi,柳州融水,9.08
smooth-peel,Gaungxi,桂林阳朔,2.6
