Variety,Province,County,Price(¥/LB)
Honey Crisp,Guangxi,南宁西乡,31.16
Honey Crisp,Guangxi,柳州柳江,32.35
Honey Crisp,Rong'an,Rong'an,27.37
Honey Crisp,Guangxi,桂林阳朔,5.38
Honey Crisp,Guangxi,钦州灵山,12
Honey Crisp,Yunnan,昆明官渡,29.95
Crisp,Shandong,济宁任城,9.15
Crisp,Guangdong,佛山南海,10.5
Crisp,Guangxi,南宁上林,10.85
Crisp,Rong'an,Rong'an,11.14
Crisp,Guangxi,桂林临桂,12.34
Crisp,Guangxi,桂林灵川,6.27
Crisp,Guangxi,桂林荔浦,3.5
Crisp,Guangxi,桂林阳朔,6.65
Crisp,Guangxi,梧州藤县,9.1
Crisp,Guangxi,贺州八步,2.5
Crisp,Sichuan,成都龙泉,8
Crisp,Shaanxi,西安临潼,9.13
Smooth-peel,Guangxi,南宁兴宁,10.6
Smooth-peel,Guangxi,柳州柳江,14
Smooth-peel,Rong'an,Rong'an,12.83
Smooth-peel,Guangxi,柳州融水,9.08
Smooth-peel,Guangxi,桂林阳朔,2.6
Oily-peel,Guangxi,南宁西乡,8.79
Oily-peel,Rong'an,Rong'an,10.21
Oily-peel,Guangxi,桂林阳朔,3
Others,Rong'an,Rong'an,24.8
Others,Guangxi,柳州融水,5
Others,Guangxi,桂林灵川,4
Others,Guangxi,桂林阳朔,6.15
Others,Hainan,文昌,7
Others,Hainan,澄迈,16.27
Others,Yunnan,大理宾川,3.5
